EMPLOYER,JOB TITLE,BASE SALARY,LOCATION,SUBMIT DATE,START DATE,CASE STATUS
WIPRO LIMITED,ARCHITECT LEVEL 2,60000,"PHOENIX, AZ",1/13/17,1/13/17,CERTIFIED
WIPRO LIMITED,ARCHITECT LEVEL 2,60000,"LINCOLN, NE",1/27/17,1/27/17,CERTIFIED
WIPRO LIMITED,ARCHITECT LEVEL 2,60000,"LEXINGTON, KY",2/2/17,2/2/17,CERTIFIED
WIPRO LIMITED,ARCHITECT LEVEL 2,60000,"DES MOINES, IA",2/4/17,2/4/17,CERTIFIED
WIPRO LIMITED,ARCHITECT LEVEL 2,60000,"FRANKLIN, WI",2/4/17,2/4/17,CERTIFIED
WIPRO LIMITED,ARCHITECT LEVEL 2,60000,"CINCINNATI, OH",2/6/17,2/6/17,CERTIFIED
WIPRO LIMITED,ARCHITECT LEVEL 2,60000,"MILWAUKEE, WI",2/7/17,2/7/17,CERTIFIED
WIPRO LIMITED,ARCHITECT LEVEL 2,60000,"MENOMONEE FALLS, WI",2/9/17,8/1/17,CERTIFIED
WIPRO LIMITED,ARCHITECT LEVEL 2,60000,"MENOMONEE FALLS, WI",2/13/17,8/7/17,CERTIFIED
WIPRO LIMITED,ARCHITECT LEVEL 2,60000,"CORVALLIS, OR",2/20/17,2/20/17,CERTIFIED
WIPRO LIMITED,ARCHITECT LEVEL 2,60000,"LEXINGTON, KY",2/20/17,8/14/17,CERTIFIED
WIPRO LIMITED,ARCHITECT LEVEL 2,60000,"KNOXVILLE, TN",2/23/17,2/23/17,CERTIFIED
WIPRO LIMITED,ARCHITECT LEVEL 2,60000,"MILWAUKEE, WI",3/9/17,3/9/17,CERTIFIED
WIPRO LIMITED,ARCHITECT LEVEL 2,60000,"ERLANGER, KY",3/15/17,3/15/17,CERTIFIED
WIPRO LIMITED,ARCHITECT LEVEL 2,60000,"CINCINNATI, OH",9/28/15,9/28/15,CERTIFIED
WIPRO LIMITED,ARCHITECT LEVEL 2,60000,"LA VERGNE, TN",9/29/15,9/29/15,CERTIFIED
WIPRO LIMITED,ARCHITECT LEVEL 2,60000,"CORVALLIS, OR",10/1/15,10/1/15,CERTIFIED
WIPRO LIMITED,ARCHITECT LEVEL 2,60000,"JEFFERSON CITY, MO",10/1/15,10/1/15,CERTIFIED
